Nombre,Categoria,Latitud,Longitud,Descripcion
chino´s family,Alojamiento,-20.227914209545997,-70.14476425505376,Alojamiento de chino
yorita´s family,alojamiento,-20.227984540458625,-70.14608012509647,Alojamiento de yorita
Zofri,Compras,-20.204984643361573,-70.13916809014685,Compritas sin impuestos
Falabella,Compras,-20.231919844482363,-70.14251864781721,Al lado de laPolar
LaPolar,Compras,-20.23324594626959,-70.14297456131008,Al lado de Falabella
Corona,Compras,-20.21408734301032,-70.14847106411948,En el centro en taxi
Ripley,Compras,-20.21388051866233,-70.14831156402971,En el centro en taxi
Paris,Compras,-20.213971711497898,-70.15052745927478,En el centro en taxi
Lider,Supermercado,-20.23483278101492,-70.14355821898143, Cerquita de Falabella
Unimarc,Supermercado,-20.22311471960659,-70.14662666606085,Mas cerca de la casa
Jumbo,Supermercado,-20.23832848813496,-70.14473835945978,Ya ta lejito
Bar Playa,Bares,-20.237231874483808,-70.14725972188141,Medio entre Cavancha y Brava
Duna Cerro Dragon,cerro desierto,-20.265716639775793,-70.11838906931423, Lejito ta para hacer parapente un tipo snowboard y ver bichos
Playa Cavancha,Playa,-20.231563681627485,-70.14707724570651,Principal playa turística de Iquique
Playa Brava,Playa,-20.239865380377815,-70.14748339949752,Playa braaava
